id_alat,tanggal,jam,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,
10223,2025-10-31,11:37:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.20,14.21,38.30,
10223,2025-10-31,11:39:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.20,14.09,38.30,
10223,2025-10-31,11:40:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.20,14.21,38.30,
10223,2025-10-31,11:41:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.20,14.27,38.30,
10223,2025-10-31,11:43:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.20,13.77,38.30,
10223,2025-10-31,11:44:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.30,14.06,38.40,
10223,2025-10-31,11:45:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.20,13.77,38.30,
10223,2025-10-31,11:46:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.20,14.09,38.30,
10223,2025-10-31,11:48:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.30,14.27,38.40,
10223,2025-10-31,11:50:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.30,13.92,38.40,
10223,2025-10-31,11:51:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.20,13.77,38.30,
10223,2025-10-31,11:52:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.30,14.03,38.30,
10223,2025-10-31,11:53:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.30,14.24,38.40,
10223,2025-10-31,11:54:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.30,13.92,38.40,
10223,2025-10-31,11:56:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.30,14.27,38.40,
10223,2025-10-31,11:57:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.30,14.18,38.40,
10223,2025-10-31,11:58:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.30,14.27,38.40,
10223,2025-10-31,11:59:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.20,14.27,38.40,
10223,2025-10-31,12:00:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.20,13.80,38.40,
10223,2025-10-31,12:01:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.20,14.27,38.40,
10223,2025-10-31,12:03:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.30,13.77,38.50,
10223,2025-10-31,12:05:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.20,14.27,38.40,
10223,2025-10-31,12:06:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.20,13.77,38.40,
10223,2025-10-31,12:07:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.20,14.27,38.40,
10223,2025-10-31,12:08:00,4.676,0.00,4.68,,,,,0.00,0.00,,1,0,1,52.20,14.12,38.50,
10223,2025-10-31,12:09:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.10,14.03,38.40,
10223,2025-10-31,12:10:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.20,14.12,38.40,
10223,2025-10-31,12:12:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,14.27,38.40,
10223,2025-10-31,12:13:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.20,14.15,38.50,
10223,2025-10-31,12:14:00,4.675,0.00,4.68,,,,,0.00,0.00,,1,0,1,52.20,13.97,38.50,
10223,2025-10-31,12:15:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.20,13.83,38.50,
10223,2025-10-31,12:16:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.20,14.36,38.50,
10223,2025-10-31,12:17:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.20,14.03,38.50,
10223,2025-10-31,12:19:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.20,14.21,38.50,
10223,2025-10-31,12:20:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.10,13.77,38.50,
10223,2025-10-31,12:21:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.20,14.21,38.50,
10223,2025-10-31,12:22:00,4.676,0.00,4.68,,,,,0.00,0.00,,1,0,1,52.20,13.83,38.50,
10223,2025-10-31,12:23:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.20,13.89,38.50,
10223,2025-10-31,12:24:00,4.676,0.00,4.68,,,,,0.00,0.00,,1,0,1,52.30,13.68,38.60,
10223,2025-10-31,12:25:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.30,14.24,38.60,
10223,2025-10-31,12:26:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.20,14.06,38.60,
10223,2025-10-31,12:27:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.20,14.15,38.60,
10223,2025-10-31,12:28:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.20,13.89,38.60,
10223,2025-10-31,12:30:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.20,14.30,38.60,
10223,2025-10-31,12:32:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.20,14.30,38.60,
10223,2025-10-31,12:33:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.10,13.77,38.60,
10223,2025-10-31,12:34:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.10,13.92,38.60,
10223,2025-10-31,12:35:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.10,14.21,38.60,
10223,2025-10-31,12:37:00,4.676,0.00,4.68,,,,,0.00,0.00,,1,0,,52.10,13.77,38.60,
10223,2025-10-31,12:38:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.10,13.68,38.60,
10223,2025-10-31,12:39:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.00,14.18,38.60,
10223,2025-10-31,12:40:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.00,14.21,38.60,
10223,2025-10-31,12:41:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.00,14.15,38.60,
10223,2025-10-31,12:42:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.00,13.83,38.60,
10223,2025-10-31,12:44:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.00,13.77,38.60,
10223,2025-10-31,12:45:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,13.89,38.60,
10223,2025-10-31,12:46:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,14.27,38.60,
10223,2025-10-31,12:47:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,14.12,38.60,
10223,2025-10-31,12:48:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,14.27,38.60,
10223,2025-10-31,12:49:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,14.27,38.60,
10223,2025-10-31,12:51:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,51.90,14.06,38.50,
10223,2025-10-31,12:52:00,4.676,0.00,4.68,,,,,0.00,0.00,,1,0,1,51.90,14.27,38.50,
10223,2025-10-31,12:53:00,4.676,0.00,4.68,,,,,0.00,0.00,,1,0,1,51.90,13.77,38.50,
10223,2025-10-31,12:54:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,14.09,38.50,
10223,2025-10-31,12:55:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,14.27,38.50,
10223,2025-10-31,12:56:00,4.675,0.00,4.68,,,,,0.00,0.00,,1,0,1,51.90,13.92,38.50,
10223,2025-10-31,12:57:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,14.21,38.60,
10223,2025-10-31,12:58:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,13.77,38.50,
10223,2025-10-31,12:59:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,14.12,38.50,
10223,2025-10-31,13:00:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,13.89,38.50,
10223,2025-10-31,13:01:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,14.24,38.50,
10223,2025-10-31,13:03:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,51.90,13.80,38.50,
10223,2025-10-31,13:04:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,13.77,38.50,
10223,2025-10-31,13:05:00,4.675,0.00,4.68,,,,,0.00,0.00,,1,0,1,52.00,14.18,38.50,
10223,2025-10-31,13:06:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,14.27,38.50,
10223,2025-10-31,13:07:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,14.03,38.50,
10223,2025-10-31,13:09:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,51.90,14.12,38.40,
10223,2025-10-31,13:10:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.00,13.80,38.50,
10223,2025-10-31,13:11:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,13.68,38.40,
10223,2025-10-31,13:12:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,13.71,38.40,
10223,2025-10-31,13:13:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.00,13.89,38.50,
10223,2025-10-31,13:14:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,14.06,38.40,
10223,2025-10-31,13:15:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.00,13.92,38.50,
10223,2025-10-31,13:16:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,13.71,38.40,
10223,2025-10-31,13:17:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,13.80,38.40,
10223,2025-10-31,13:18:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,14.21,38.40,
10223,2025-10-31,13:19:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,14.27,38.40,
10223,2025-10-31,13:20:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,13.71,38.40,
10223,2025-10-31,13:21:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,13.89,38.40,
10223,2025-10-31,13:23:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,51.90,14.44,38.30,
10223,2025-10-31,13:25:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.00,13.89,38.40,
10223,2025-10-31,13:26:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,13.83,38.30,
10223,2025-10-31,13:27:00,4.675,0.00,4.68,,,,,0.00,0.00,,1,0,1,52.00,14.09,38.40,
10223,2025-10-31,13:28:00,4.671,0.00,4.68,,,,,0.00,0.00,,1,0,1,52.00,14.27,38.30,
10223,2025-10-31,13:29:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,14.09,38.30,
10223,2025-10-31,13:31:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.00,14.27,38.30,
10223,2025-10-31,13:33:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,51.90,14.27,38.20,
10223,2025-10-31,13:34:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.00,13.83,38.30,
10223,2025-10-31,13:35:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.00,14.21,38.30,
10223,2025-10-31,13:36:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,13.83,38.20,
10223,2025-10-31,13:38:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.00,14.27,38.20,
10223,2025-10-31,13:39:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.00,13.71,38.20,
10223,2025-10-31,13:40:00,4.675,0.00,4.68,,,,,0.00,0.00,,1,0,1,52.00,14.18,38.20,
10223,2025-10-31,13:41:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.00,13.77,38.20,
10223,2025-10-31,13:43:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,14.21,38.20,
10223,2025-10-31,13:45:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.00,14.18,38.10,
10223,2025-10-31,13:46:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.10,13.83,38.20,
10223,2025-10-31,13:47:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.10,13.77,38.20,
10223,2025-10-31,13:48:00,4.671,0.00,4.68,,,,,0.00,0.00,,1,0,1,52.10,14.09,38.20,
10223,2025-10-31,13:49:00,4.676,0.00,4.68,,,,,0.00,0.00,,1,0,1,52.10,13.77,38.20,
10223,2025-10-31,13:50:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.10,14.21,38.20,
10223,2025-10-31,13:52:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.20,14.27,38.20,
10223,2025-10-31,13:54:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.20,13.77,38.10,
10223,2025-10-31,13:56:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.20,14.15,38.20,
10223,2025-10-31,13:58:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.20,14.18,38.10,
10223,2025-10-31,14:00:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.30,14.27,38.20,
10223,2025-10-31,14:02:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.20,13.83,38.20,
10223,2025-10-31,14:04:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.20,13.65,38.20,
10223,2025-10-31,14:06:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.20,13.77,38.20,
10223,2025-10-31,14:08:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,13.80,38.20,
10223,2025-10-31,14:10:00,4.676,0.00,4.68,,,,,0.00,0.00,,1,0,,52.10,13.77,38.20,
10223,2025-10-31,14:11:00,4.675,0.00,4.68,,,,,0.00,0.00,,1,0,1,52.10,14.24,38.20,
10223,2025-10-31,14:12:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.10,14.27,38.20,
10223,2025-10-31,14:14:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,14.27,38.20,
10223,2025-10-31,14:16:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,14.21,38.20,
10223,2025-10-31,14:18:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,13.83,38.20,
10223,2025-10-31,14:20:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,13.83,38.20,
10223,2025-10-31,14:22:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,14.21,38.10,
10223,2025-10-31,14:24:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.00,14.27,38.10,
10223,2025-10-31,14:26:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,14.27,38.20,
10223,2025-10-31,14:28:00,4.675,0.00,4.68,,,,,0.00,0.00,,1,0,,52.10,14.21,38.20,
10223,2025-10-31,14:30:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,13.89,38.20,
10223,2025-10-31,14:32:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,13.95,38.20,
10223,2025-10-31,14:33:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.10,14.27,38.20,
10223,2025-10-31,14:35:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,14.21,38.20,
10223,2025-10-31,14:36:00,4.672,0.00,4.68,,,,,0.00,0.00,,1,0,1,52.10,14.21,38.20,
10223,2025-10-31,14:37:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.00,14.12,38.20,
10223,2025-10-31,14:39:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,13.77,38.20,
10223,2025-10-31,14:41:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,13.92,38.20,
10223,2025-10-31,14:43:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,13.86,38.20,
10223,2025-10-31,14:45:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,14.27,38.20,
10223,2025-10-31,14:47:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,14.27,38.20,
10223,2025-10-31,14:48:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.10,13.83,38.20,
10223,2025-10-31,14:50:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,14.09,38.20,
10223,2025-10-31,14:52:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,14.27,38.20,
10223,2025-10-31,14:54:00,4.675,0.00,4.68,,,,,0.00,0.00,,1,0,,52.10,14.18,38.20,
10223,2025-10-31,14:55:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.90,14.21,38.10,
10223,2025-10-31,14:57:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,14.21,38.20,
10223,2025-10-31,14:59:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,13.77,38.20,
10223,2025-10-31,15:01:00,4.675,0.00,4.68,,,,,0.00,0.00,,1,0,,52.00,14.12,38.10,
10223,2025-10-31,15:03:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.00,13.95,38.10,
10223,2025-10-31,15:05:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.00,13.65,38.10,
10223,2025-10-31,15:07:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,13.95,38.10,
10223,2025-10-31,15:09:00,4.676,0.00,4.68,,,,,0.00,0.00,,1,0,,52.10,14.27,38.10,
10223,2025-10-31,15:11:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,14.12,38.10,
10223,2025-10-31,15:13:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,13.77,38.10,
10223,2025-10-31,15:15:00,4.676,0.00,4.68,,,,,0.00,0.00,,1,0,,52.10,14.15,38.10,
10223,2025-10-31,15:16:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.10,14.12,38.10,
10223,2025-10-31,15:18:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,14.12,38.10,
10223,2025-10-31,15:20:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,13.62,38.10,
10223,2025-10-31,15:22:00,4.676,0.00,4.68,,,,,0.00,0.00,,1,0,,52.10,13.07,38.10,
10223,2025-10-31,15:24:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,13.07,38.10,
10223,2025-10-31,15:26:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.10,12.98,38.10,
10223,2025-10-31,15:28:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.00,13.39,38.10,
10223,2025-10-31,15:30:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.00,12.89,38.10,
10223,2025-10-31,15:32:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.00,13.07,38.10,
10223,2025-10-31,15:33:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,52.00,13.33,38.10,
10223,2025-10-31,15:35:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.00,13.33,38.10,
10223,2025-10-31,15:37:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,51.90,13.33,38.10,
10223,2025-10-31,15:39:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,52.00,13.27,38.10,
10223,2025-10-31,15:41:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,51.90,12.83,38.10,
10223,2025-10-31,15:43:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,51.90,12.83,38.10,
10223,2025-10-31,15:45:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,51.90,13.15,38.10,
10223,2025-10-31,15:47:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,51.90,12.71,38.20,
10223,2025-10-31,15:49:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,51.90,13.15,38.20,
10223,2025-10-31,15:51:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,51.90,12.71,38.20,
10223,2025-10-31,15:53:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,,51.80,12.71,38.10,
10223,2025-10-31,15:54:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.80,12.83,38.20,
10223,2025-10-31,15:55:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.70,12.89,38.20,
10223,2025-10-31,15:56:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.70,13.15,38.20,
10223,2025-10-31,15:57:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.80,13.15,38.30,
10223,2025-10-31,15:58:00,4.676,0.00,4.68,,,,,0.00,0.00,,1,0,1,51.70,13.15,38.20,
10223,2025-10-31,15:59:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.60,13.15,38.20,
10223,2025-10-31,16:00:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.60,13.15,38.20,
10223,2025-10-31,16:01:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,1,1,51.70,12.71,38.30,
10223,2025-10-31,16:02:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.60,12.71,38.30,
10223,2025-10-31,16:03:00,4.675,0.00,4.68,,,,,0.00,0.00,,1,0,1,51.60,12.71,38.30,
10223,2025-10-31,16:04:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.60,12.63,38.30,
10223,2025-10-31,16:05:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.60,12.63,38.30,
10223,2025-10-31,16:06:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.50,13.15,38.30,
10223,2025-10-31,16:07:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.50,13.15,38.30,
10223,2025-10-31,16:08:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.50,12.74,38.40,
10223,2025-10-31,16:09:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.50,12.95,38.30,
10223,2025-10-31,16:10:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.50,13.13,38.40,
10223,2025-10-31,16:11:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.40,12.83,38.30,
10223,2025-10-31,16:12:00,0.00,0.00,4.68,,,,,0.00,0.00,,0,0,1,51.30,13.21,38.30,
